id,user_id,watched_video_id,watch_time_in_sec
457,1,1678,295
458,2,3611,220
459,1,5929,87
460,1,8260,8
461,2,4578,273
462,1,6911,64
463,2,1843,228
464,2,628,25
465,2,3713,281
466,2,3062,53
467,2,9252,168
468,2,9001,225
469,1,2036,299
470,1,6467,233
471,1,3815,255
472,1,5417,143
473,2,806,118
474,1,7022,95
475,1,7851,188
476,2,835,264
477,2,9305,2
478,2,9872,88
479,2,3868,175
480,2,9723,126
481,1,7117,34
482,1,6772,99
483,1,7640,136
484,1,9672,109
485,1,9988,268
486,2,6380,43
487,1,7941,81
488,1,9205,79
489,2,1730,279
490,1,203,286
491,2,1440,278
492,1,5953,13
493,1,1666,246
494,2,5486,106
495,1,9887,5
496,2,685,159
497,1,5065,218
498,1,7038,63
499,2,1627,27
500,2,3262,206
501,1,7177,239
502,1,1326,170
503,1,6679,209
504,2,3485,259
505,2,3119,178
506,2,1271,80
507,1,979,276
508,2,89,124
509,2,8939,299
510,1,7799,131
511,2,1754,203
512,2,6565,272
513,2,7178,130
514,1,5746,232
515,2,5960,1
516,1,1234,23
517,1,610,20
518,2,2812,276
519,2,691,128
520,1,5804,233
521,1,9930,230
522,1,1283,218
523,2,4419,138
524,1,5480,13
525,1,1191,151
526,1,3630,50
527,1,599,250
528,2,4484,44
529,2,3328,66
530,1,483,167
531,2,744,191
532,2,2903,49
533,1,4298,259
534,1,4013,67
535,2,3818,120
536,1,437,61
537,1,5198,254
538,1,719,73
539,2,4373,75
540,1,2284,190
541,1,6540,242
542,2,4918,161
543,1,526,207
544,1,9074,191
545,1,5699,143
546,2,8777,138
547,1,8144,138
548,2,5645,267
549,2,5252,44
550,2,5737,64
551,1,2138,184
552,1,6868,134
553,1,7142,258
554,1,5607,74
555,2,8264,2
556,1,4639,157
557,2,6310,208
558,1,1750,121
559,2,2012,229
560,2,9784,9
561,2,2777,213
562,2,7844,96
563,1,2429,245
564,2,5948,85
565,2,7406,203
566,1,4771,48
567,2,8012,35
568,2,6546,20
569,1,1854,49
570,2,932,131
571,2,5616,294
572,1,6180,77
573,2,5788,113
574,2,9904,117
575,2,2454,11
576,1,6485,231
577,1,3831,279
578,1,7734,282
579,1,2482,107
580,1,9487,181
581,1,3066,239
582,1,88,8
583,1,7456,38
584,1,1559,282
585,2,4578,116
586,2,1298,181
587,2,1300,0
588,1,3010,88
589,1,3977,281
590,2,7024,220
591,2,146,298
592,1,3632,132
593,2,8772,69
594,2,7525,15
595,1,5161,114
596,2,521,168
597,1,6241,61
598,2,2287,15
599,1,7262,144
600,2,4874,265
601,2,5566,69
602,1,9026,217
603,2,917,260
604,2,9286,8
605,1,6365,238
606,1,2056,265
607,2,8007,14
608,2,9143,262
609,1,8405,276
610,2,7232,63
611,1,8849,15
612,1,3644,163
613,2,7455,263
614,1,251,14
615,1,224,269
616,1,2142,276
617,1,2302,94
618,1,4367,73
619,2,8970,214
620,1,394,233
621,2,3279,105
622,1,7374,31
623,1,9512,160
624,2,6451,238
625,1,9933,68
626,1,5498,109
627,2,5108,226
628,1,7939,47
629,2,3168,126
630,2,160,212
631,1,3998,46
632,1,5969,71
633,2,3385,64
634,2,4301,41
635,1,3832,29
636,1,4476,234
637,1,2171,284
638,2,6795,39
639,2,7978,157
640,1,3805,90
641,1,449,34
642,1,2769,100
643,2,6595,175
644,2,8326,147
645,2,9029,228
646,1,7637,51
647,1,235,188
648,1,9986,43
649,2,625,52
650,1,4783,100
651,1,1011,35
652,2,614,36
653,2,7305,73
654,2,2723,225
655,1,4666,45
656,2,4831,262
657,2,6792,89
658,2,3886,174
659,2,1528,294
660,1,7630,254
661,1,9815,41
662,1,3772,164
663,1,5589,250
664,1,3333,251
665,2,5016,39
666,2,2074,226
667,2,5629,269
668,2,2380,165
669,1,419,121
670,2,2412,257
671,1,3680,91
672,2,4795,133
673,1,8222,256
674,2,2494,138
675,2,2298,104
676,2,3917,2
677,1,1419,117
678,2,7138,11
679,2,5661,155
680,2,5776,24
681,2,8402,222
682,1,8220,147
683,1,2086,58
684,1,2965,34
685,2,5444,235
686,2,2361,46
687,1,2557,254
688,2,7026,251
689,1,6459,165
690,1,7447,94
691,1,2555,185
692,2,487,261
693,2,4306,194
694,2,6228,226
695,1,9266,55
696,1,7995,58
697,1,7781,240
698,2,4424,274
699,2,9439,136
700,1,8872,86
701,1,3016,207
702,2,1969,85
703,1,8144,84
704,2,5411,194
705,2,1976,214
706,2,4846,271
707,1,3701,259
708,2,1610,53
709,1,10044,15
710,2,1388,260
711,1,1956,288
712,2,6016,66
713,2,9465,86
714,1,2867,44
715,1,9781,44
716,2,8800,56
717,2,863,160
718,1,4616,16
719,1,4566,226
720,1,8297,133
721,1,3708,195
722,1,6954,146
723,1,4863,187
724,2,1275,194
725,2,4481,156
726,1,4253,270
727,2,8966,64
728,2,3437,253
729,2,433,29
730,2,6096,261
731,2,5150,218
732,2,4421,78
733,1,2976,285
734,1,311,168
735,2,8503,156
736,1,9809,251
737,2,8481,224
738,2,1860,108
739,2,3455,226
740,1,4333,150
741,2,1627,209
742,1,7803,229
743,1,7782,260
744,2,4638,225
745,2,2930,128
746,1,459,22
747,2,8145,236
748,1,5915,108
749,1,3342,92
750,2,3952,181
751,2,2584,61
752,2,8512,253
753,1,6825,244
754,1,5646,177
755,1,2392,280
756,2,5157,289
757,1,1628,284
758,1,4275,159
759,1,634,265
760,2,9239,0
761,1,7167,45
762,2,642,131
763,1,6500,198
764,2,3464,236
765,1,3185,226
766,2,8084,245
767,1,9582,123
768,2,9352,275
769,2,631,255
770,1,7641,268
771,1,6968,194
772,2,8998,20
773,1,8730,74
774,2,3713,198
775,2,2656,5
776,1,4524,208
777,1,3377,44
778,2,7093,159
779,2,6907,167
780,2,2310,72
781,1,1077,258
782,2,4188,107
783,1,7706,256
784,1,8401,117
785,1,5672,26
786,1,5634,283
787,2,7813,37
788,2,4451,237
789,2,3223,32
790,2,4961,18
791,2,5115,125
792,1,8048,237
793,1,7977,281
794,2,3022,241
795,1,8250,10
796,1,1535,68
797,2,165,170
798,2,3419,225
799,2,5779,141
800,1,467,198
801,1,1965,68
802,1,5357,170
803,1,2441,182
804,1,6540,0
805,2,2854,44
806,2,2799,123
807,2,1580,287
808,2,3464,253
809,1,2214,119
810,2,6894,89
811,1,7427,136
812,1,7060,147
813,1,3190,148
814,2,4428,171
815,2,8730,191
816,2,6388,192
817,1,525,5
818,1,4616,111
819,2,6031,256
820,1,8291,206
821,2,1525,140
822,1,6019,137
823,1,5885,164
824,2,4567,83
825,1,9957,180
826,2,7396,136
827,2,8309,257
828,1,1601,68
829,1,8135,167
830,2,7808,184
831,1,10036,296
832,1,2401,183
833,2,4907,141
834,2,9583,13
835,2,6968,125
836,1,6176,87
837,1,5467,175
838,1,9519,212
839,1,1744,10
840,2,7006,94
841,1,1512,109
842,2,3691,59
843,2,8553,175
844,2,5962,135
845,2,8366,167
846,2,5310,126
847,2,5005,174
848,2,1077,225
849,1,4379,166
850,2,2893,47
851,2,9273,113
852,2,4455,286
853,2,3550,286
854,2,603,89
855,2,6088,70
856,1,3547,98
857,1,9650,151
858,1,2980,182
859,2,4963,214
860,1,1531,246
861,2,3429,96
862,2,3512,229
863,1,6391,164
864,2,9981,267
865,1,549,69
866,2,1958,152
867,1,6882,152
868,1,3487,66
869,2,5789,180
870,1,6632,264
871,2,2508,170
872,1,5198,289
873,2,6227,145
874,2,8875,259
875,2,6641,221
876,1,3469,105
877,2,5726,82
878,1,9929,297
879,1,4359,194
880,1,5258,165
881,1,2369,25
882,2,5029,296
883,1,4802,182
884,2,7075,150
885,2,7900,146
886,1,6684,274
887,1,4123,76
888,1,226,70
889,1,8166,15
890,1,8767,149
891,1,7586,36
892,2,3803,93
893,1,2442,261
894,2,581,159
895,2,1482,32
896,2,9555,166
897,1,1717,186
898,1,6902,257
899,2,1627,210
900,2,9989,2
901,2,6414,103
902,1,1127,262
903,1,7651,215
904,2,7848,143
905,2,2859,211
906,1,8403,21
907,1,2683,158
908,1,7114,104
909,2,9998,7
910,1,6753,227
911,2,4718,213
912,2,2127,144
913,2,2398,34
914,2,3091,291
915,2,3936,51
916,2,2272,282
917,2,3954,45
918,2,6128,57
919,2,9943,194
920,2,2014,62
921,2,797,188
922,2,8103,279
923,2,3382,15
924,1,8761,113
925,2,6106,147
926,2,7698,32
927,2,6118,60
928,2,7552,293
929,1,143,87
930,2,7447,263
931,2,1552,108
932,1,4852,16
933,1,2089,250
934,1,1594,294
935,2,826,155
936,2,3443,236
937,2,1231,34
938,2,9294,11
939,1,9997,104
940,1,1232,175
941,2,4091,283
942,2,8886,275
943,2,1068,115
944,2,6038,78
945,1,5381,218
946,1,3272,159
947,1,6735,115
948,2,4784,227
949,2,2312,268
950,1,1665,64
951,2,4839,57
952,2,6864,240
953,2,427,248
954,2,4493,256
955,2,6265,47
956,1,3376,194
957,2,6801,121
958,2,9313,41
959,2,9654,261
960,1,3462,109
961,1,7251,8
962,2,2953,239
963,2,8578,82
964,2,7488,173
965,1,8412,214
966,2,4381,237
967,2,8494,23
968,2,4172,118
969,2,7717,198
970,2,1037,2
971,1,6574,8
972,2,4982,64
973,2,10023,157
974,1,181,277
975,1,436,86
976,2,2597,40
977,1,4866,201
978,2,5010,150
979,1,9234,38
980,2,1829,10
981,2,9499,27
982,1,3735,255
983,2,8446,175
984,2,7702,202
985,2,7957,208
986,2,5165,34
987,1,7579,201
988,2,9096,150
989,2,4339,1
990,2,3488,234
991,2,9258,206
992,1,9259,59
993,2,7191,275
994,1,7116,147
995,2,6681,286
996,1,7806,50
997,1,8078,119
998,1,1820,243
999,2,7208,272
1000,2,8658,44
1001,1,4012,165
1002,1,7266,235
1003,1,4810,217
1004,2,9315,141
1005,2,5968,253
1006,2,5172,157
1007,2,115,107
1008,1,1773,167
1009,2,9327,99
1010,2,9033,235
1011,2,4110,284
1012,1,1029,37
1013,1,1004,153
1014,1,4882,278
1015,2,7865,42
1016,2,67,213
1017,1,3617,36
1018,2,9059,19
1019,1,3860,210
1020,2,4960,199
1021,2,5840,284
1022,1,4666,281
1023,2,7249,94
1024,2,3143,228
1025,1,6286,119
1026,2,4629,4
1027,2,7889,250
1028,2,9166,246
1029,1,3937,114
1030,2,2432,210
1031,1,1188,291
1032,2,4725,244
1033,2,3079,117
1034,2,7702,161
1035,2,6531,299
1036,2,5281,212
1037,1,3808,171
1038,1,2757,250
1039,2,6763,26
1040,2,4514,41
1041,1,3583,150
1042,2,3573,42
1043,1,7198,281
1044,1,7133,142
1045,1,4364,287
1046,2,4120,75
1047,1,9069,55
1048,2,5801,188
1049,1,9270,267
1050,2,6749,74
1051,2,1762,278
1052,2,1747,50
1053,2,1855,9
1054,1,101,144
1055,2,2177,111
1056,2,1257,56
1057,2,228,160
1058,2,1379,238
1059,2,3367,13
1060,1,4669,163
1061,2,9361,199
1062,2,9032,256
1063,1,7516,15
1064,1,3197,184
1065,1,9105,160
1066,1,2577,177
1067,1,9566,174
1068,2,5049,7
1069,2,238,298
1070,1,2709,184
1071,1,1900,35
1072,1,7473,82
1073,1,5940,48
1074,1,4812,220
1075,1,300,216
1076,2,7982,186
1077,2,9227,298
1078,2,5524,61
1079,1,6135,249
1080,1,3826,74
1081,1,10009,82
1082,2,7736,23
1083,2,8496,85
1084,1,9930,97
1085,1,5798,29
1086,2,2303,95
1087,1,1480,210
1088,1,3540,283
1089,1,8457,273
1090,2,9665,95
1091,2,3115,145
1092,2,1715,53
1093,1,2630,75
1094,2,4412,134
1095,1,8865,266
1096,2,1512,271
1097,2,2469,154
1098,2,2780,132
1099,1,3203,115
1100,2,9402,282
1101,1,8297,81
1102,1,1079,26
1103,2,8679,289
1104,1,2706,224
1105,2,3699,62
1106,1,6525,276
1107,2,7572,107
1108,1,9542,161
1109,2,5001,181
1110,2,7869,299
1111,2,8319,72
1112,2,3130,264
1113,1,2692,109
1114,2,127,14
1115,2,6895,266
1116,2,8781,85
1117,1,7022,152
1118,1,1774,237
1119,1,1637,241
1120,2,183,61
1121,1,6765,130
1122,1,2246,35
1123,1,8911,292
1124,2,7187,256
1125,1,4444,98
1126,2,1108,111
1127,2,2677,29
1128,1,2057,55
1129,1,3641,31
1130,1,8742,92
1131,2,2925,289
1132,1,4291,52
1133,1,181,169
1134,1,9630,201
1135,1,4517,252
1136,1,5997,88
1137,1,80,297
1138,2,9043,22
1139,2,189,8
1140,1,8775,59
1141,2,548,173
1142,1,3263,86
1143,2,7874,236
1144,1,4181,40
1145,2,3014,117
1146,2,7819,115
1147,2,2338,253
1148,1,2859,88
1149,1,2935,5
1150,2,9933,72
1151,1,7682,169
1152,1,4346,237
1153,2,2456,171
1154,1,3667,89
1155,1,551,298
1156,2,699,40
1157,2,3835,173
1158,2,4387,231
1159,2,638,256
1160,2,7079,39
1161,1,3145,232
1162,2,7725,173
1163,1,4212,283
1164,2,7988,238
1165,2,1790,215
1166,2,5349,271
1167,1,5032,30
1168,2,7348,257
1169,2,8001,117
1170,2,4096,171
1171,2,1109,112
1172,2,1494,279
1173,2,8649,252
1174,2,9414,144
1175,2,250,212
1176,1,3300,229
1177,1,6215,163
1178,2,9205,196
1179,2,871,170
1180,1,5383,253
1181,2,1095,204
1182,1,9149,19
1183,1,1005,40
1184,1,6027,94
1185,1,9564,83
1186,1,4809,235
1187,2,6229,261
1188,1,3561,183
1189,2,7966,135
1190,2,2346,175
1191,1,414,243
1192,2,8723,269
1193,1,4351,46
1194,1,7216,223
1195,1,5973,255
1196,1,5335,131
1197,1,2721,203
1198,1,8026,215
1199,1,8966,62
1200,1,3656,282
1201,1,6395,106
1202,2,1034,148
1203,2,4445,237
1204,2,3504,152
1205,1,1629,56
1206,2,7448,151
1207,2,248,4
1208,2,8263,143
1209,1,6072,0
1210,2,343,108
1211,1,9909,105
1212,2,1488,250
1213,2,5654,47
1214,2,3274,250
1215,1,2051,279
1216,2,1482,231
1217,2,7607,61
1218,1,1302,135
1219,1,9702,113
1220,2,8254,251
1221,1,3294,71
1222,2,2984,235
1223,1,7164,168
1224,2,5775,111
1225,2,4919,62
1226,2,2945,125
1227,1,2623,86
1228,2,5660,16
1229,1,5628,207
1230,1,9396,177
1231,1,4980,217
1232,1,3933,11
1233,2,4277,93
1234,2,9845,125
1235,1,7988,135
1236,2,4972,139
1237,2,5197,6
1238,2,3126,253
1239,1,509,241
1240,2,7050,37
1241,2,6380,40
1242,1,1414,115
1243,2,7569,298
1244,2,1018,219
1245,2,7850,156
1246,1,934,279
1247,1,1643,173
1248,1,7911,117
1249,1,138,33
1250,2,2519,211
1251,2,474,282
1252,1,6347,71
1253,1,5941,111
1254,2,2282,95
1255,1,1541,226
1256,1,4804,86
1257,1,7742,192
1258,2,6935,237
1259,2,7488,230
1260,2,4574,54
1261,1,1537,114
1262,1,6065,0
1263,2,3323,281
1264,2,6827,47
1265,2,2403,119
1266,1,812,64
1267,1,9424,223
1268,1,7031,29
1269,2,846,15
1270,1,8392,205
1271,1,5153,129
1272,2,9562,168
1273,1,5532,81
1274,2,8854,157
1275,1,2465,119
1276,1,4870,249
1277,2,969,101
1278,2,4336,182
1279,2,5435,289
1280,2,2000,45
1281,2,387,242
1282,2,8927,295
1283,1,7264,112
1284,1,6116,135
1285,2,6080,272
1286,1,9146,111
1287,1,6936,21
1288,1,5563,86
1289,1,7138,101
1290,1,9453,124
1291,2,2501,53
1292,1,724,32
1293,1,484,121
1294,1,8745,262
1295,2,4099,74
1296,2,6116,39
1297,2,9822,184
1298,2,8539,69
1299,1,3386,242
1300,2,8542,80
1301,2,5624,231
1302,1,9597,157
1303,2,5220,118
1304,2,6330,192
1305,1,8010,285
1306,2,4622,112
1307,2,4443,259
1308,1,7404,51
1309,2,175,242
1310,2,6332,274
1311,2,5453,142
1312,2,6314,209
1313,2,4305,141
1314,2,7802,112
1315,2,5832,27
1316,2,9647,269
1317,1,4580,196
1318,2,4552,82
1319,1,5387,153
1320,1,2947,209
1321,2,4112,6
1322,2,8737,73
1323,2,1313,294
1324,1,6287,199
1325,2,2752,264
1326,2,6393,147
1327,1,7997,101
1328,1,911,257
1329,1,447,231
1330,1,6091,162
1331,2,6951,195
1332,2,3479,214
1333,1,2925,119
1334,2,1267,110
1335,2,6605,9
1336,2,4702,107
1337,2,9196,287
1338,1,1329,38
1339,2,2671,282
1340,2,3773,213
1341,1,5038,214
1342,1,5878,186
1343,1,5604,5
1344,2,6201,197
1345,1,9692,183
1346,1,6808,261
1347,2,365,122
1348,2,8380,19
1349,2,5192,102
1350,1,7951,217
1351,1,9320,129
1352,1,2855,24
1353,2,7605,121
1354,1,2832,157
1355,1,1164,225
1356,1,4424,19
1357,1,2785,33
1358,2,4030,76
1359,2,3204,169
1360,1,9488,136
1361,1,4336,78
1362,1,1317,58
1363,2,6385,75
1364,2,8284,279
1365,2,4297,291
1366,2,3045,257
1367,2,1549,31
1368,2,9162,227
1369,1,5860,183
1370,1,3149,223
1371,2,185,90
1372,2,93,278
1373,2,5457,60
1374,1,1924,258
1375,2,1933,53
1376,1,2547,4
1377,1,3090,82
1378,1,911,106
1379,1,9161,293
1380,1,4254,245
1381,1,4853,49
1382,2,7053,122
1383,2,3219,249
1384,2,1849,23
1385,2,1073,176
1386,1,7895,199
1387,1,1147,279
1388,2,7307,242
1389,1,9750,99
1390,1,204,234
1391,1,829,73
1392,1,1964,26
1393,2,4247,15
1394,2,6545,90
1395,1,4421,58
1396,1,6067,219
1397,2,2921,51
1398,2,9266,161
1399,1,4218,53
1400,2,7792,238
1401,2,1526,288
1402,2,2798,188
1403,2,7217,221
1404,2,2238,256
1405,2,5576,193
1406,1,6376,293
1407,2,10029,214
1408,1,219,173
1409,2,2074,44
1410,1,3162,261
1411,2,308,190
1412,1,8060,199
1413,1,2039,273
1414,1,783,222
1415,1,3386,160
1416,1,3581,201
1417,2,697,263
1418,1,6939,86
1419,2,4303,133
1420,1,6784,238
1421,2,9901,162
1422,1,2538,36
1423,2,8029,204
1424,2,6549,185
1425,2,3870,220
1426,1,1879,258
1427,1,7807,131
1428,1,8142,136
1429,1,1510,178
1430,1,8407,294
1431,2,6433,90
1432,1,9549,52
1433,1,8042,162
1434,2,8763,203
1435,2,6416,57
1436,2,4948,40
1437,2,304,48
1438,2,6752,157
1439,2,546,148
1440,1,9144,110
1441,1,9011,277
1442,2,2824,2
1443,1,3867,166
1444,1,7027,172
1445,1,9112,147
1446,1,5890,254
1447,2,1376,288
1448,1,9164,284
1449,1,6550,238
1450,2,5112,66
1451,2,4199,190
1452,1,4287,190
1453,1,2591,137
1454,1,2773,42
1455,1,9740,275
1456,1,9309,245
1457,1,8461,247
1458,1,9934,83
1459,2,4072,295
1460,1,5418,88
1461,1,894,142
1462,1,1446,77
1463,2,9292,250
1464,2,5187,52
1465,1,4463,221
1466,1,5639,35
1467,2,3811,186
1468,2,7566,228
1469,2,520,180
1470,2,7615,254
1471,2,3381,183
1472,1,2311,272
1473,1,8846,108
1474,1,2185,138
1475,2,6215,191
1476,2,4313,10
1477,1,8411,284
1478,1,2142,271
1479,1,5883,235
1480,2,8908,285
1481,2,7715,129
1482,1,5256,218
1483,1,2185,93
1484,2,1455,80
1485,1,9365,267
1486,2,3203,250
1487,1,6502,270
1488,1,3260,173
1489,2,1297,298
1490,2,8411,191
1491,2,5673,149
1492,2,9749,53
1493,2,1855,47
1494,1,8689,186
1495,2,9693,12
1496,1,9923,290
1497,1,683,107
1498,2,9341,51
1499,2,9870,109
1500,1,6233,285
1501,1,5159,55
1502,2,6757,115
1503,2,2619,24
1504,2,4344,144
1505,2,667,64
1506,1,1229,115
1507,2,170,128
1508,2,9817,61
1509,2,7477,198
