video_id,detected_objects_withconfidence
46,Shirt:20|Trousers:20|Footwear:20|Handbag:20|Watch:20|Guitar:20|Mobile_phone:20|Headphones:20|Hat:20|Sunglasses:20
117,Shirt:6|Trousers:1|Footwear:2|Handbag:10|Watch:8|Guitar:7|Mobile_phone:3|Headphones:4|Hat:5|Sunglasses:9
118,Shirt:4|Trousers:6|Footwear:8|Handbag:9|Watch:1|Guitar:3|Mobile_phone:2|Headphones:5|Hat:10|Sunglasses:7
119,Shirt:9|Trousers:5|Footwear:1|Handbag:8|Watch:4|Guitar:6|Mobile_phone:10|Headphones:3|Hat:2|Sunglasses:7
120,Shirt:7|Trousers:4|Footwear:10|Handbag:3|Watch:5|Guitar:6|Mobile_phone:1|Headphones:9|Hat:8|Sunglasses:2
121,Shirt:1|Trousers:6|Footwear:3|Handbag:9|Watch:7|Guitar:5|Mobile_phone:10|Headphones:2|Hat:4|Sunglasses:8
122,Shirt:7|Trousers:1|Footwear:9|Handbag:4|Watch:10|Guitar:2|Mobile_phone:8|Headphones:3|Hat:5|Sunglasses:6
123,Shirt:7|Trousers:10|Footwear:2|Handbag:5|Watch:6|Guitar:1|Mobile_phone:8|Headphones:9|Hat:3|Sunglasses:4
124,Shirt:2|Trousers:6|Footwear:4|Handbag:1|Watch:9|Guitar:10|Mobile_phone:8|Headphones:7|Hat:3|Sunglasses:5
125,Shirt:7|Trousers:1|Footwear:5|Handbag:6|Watch:3|Guitar:9|Mobile_phone:4|Headphones:2|Hat:10|Sunglasses:8
126,Shirt:10|Trousers:5|Footwear:4|Handbag:9|Watch:6|Guitar:2|Mobile_phone:8|Headphones:7|Hat:1|Sunglasses:3
127,Shirt:3|Trousers:10|Footwear:8|Handbag:7|Watch:6|Guitar:1|Mobile_phone:2|Headphones:9|Hat:5|Sunglasses:4
128,Shirt:2|Trousers:8|Footwear:10|Handbag:7|Watch:4|Guitar:3|Mobile_phone:6|Headphones:5|Hat:1|Sunglasses:9
129,Shirt:7|Trousers:2|Footwear:1|Handbag:10|Watch:8|Guitar:5|Mobile_phone:3|Headphones:6|Hat:4|Sunglasses:9
130,Shirt:4|Trousers:9|Footwear:7|Handbag:3|Watch:2|Guitar:1|Mobile_phone:8|Headphones:6|Hat:5|Sunglasses:10
131,Shirt:9|Trousers:4|Footwear:10|Handbag:5|Watch:3|Guitar:2|Mobile_phone:7|Headphones:6|Hat:1|Sunglasses:8
132,Shirt:7|Trousers:5|Footwear:6|Handbag:10|Watch:9|Guitar:8|Mobile_phone:4|Headphones:2|Hat:3|Sunglasses:1
133,Shirt:4|Trousers:8|Footwear:1|Handbag:7|Watch:10|Guitar:9|Mobile_phone:6|Headphones:2|Hat:3|Sunglasses:5
134,Shirt:7|Trousers:4|Footwear:2|Handbag:10|Watch:1|Guitar:6|Mobile_phone:9|Headphones:3|Hat:5|Sunglasses:8
135,Shirt:4|Trousers:10|Footwear:2|Handbag:6|Watch:8|Guitar:7|Mobile_phone:9|Headphones:5|Hat:1|Sunglasses:3
136,Shirt:4|Trousers:8|Footwear:1|Handbag:5|Watch:6|Guitar:3|Mobile_phone:7|Headphones:10|Hat:2|Sunglasses:9
137,Shirt:7|Trousers:3|Footwear:1|Handbag:5|Watch:9|Guitar:4|Mobile_phone:10|Headphones:8|Hat:6|Sunglasses:2
138,Shirt:5|Trousers:2|Footwear:3|Handbag:1|Watch:6|Guitar:9|Mobile_phone:8|Headphones:4|Hat:7|Sunglasses:10
139,Shirt:8|Trousers:2|Footwear:4|Handbag:1|Watch:9|Guitar:10|Mobile_phone:5|Headphones:6|Hat:7|Sunglasses:3
140,Shirt:3|Trousers:5|Footwear:2|Handbag:10|Watch:7|Guitar:8|Mobile_phone:1|Headphones:4|Hat:9|Sunglasses:6
141,Shirt:1|Trousers:6|Footwear:4|Handbag:2|Watch:9|Guitar:5|Mobile_phone:8|Headphones:3|Hat:10|Sunglasses:7
142,Shirt:10|Trousers:2|Footwear:4|Handbag:3|Watch:6|Guitar:1|Mobile_phone:5|Headphones:7|Hat:9|Sunglasses:8
143,Shirt:5|Trousers:6|Footwear:9|Handbag:2|Watch:3|Guitar:7|Mobile_phone:1|Headphones:10|Hat:8|Sunglasses:4
144,Shirt:5|Trousers:10|Footwear:3|Handbag:9|Watch:6|Guitar:8|Mobile_phone:2|Headphones:1|Hat:4|Sunglasses:7
145,Shirt:4|Trousers:9|Footwear:10|Handbag:6|Watch:5|Guitar:1|Mobile_phone:8|Headphones:7|Hat:3|Sunglasses:2
146,Shirt:6|Trousers:10|Footwear:7|Handbag:8|Watch:2|Guitar:3|Mobile_phone:1|Headphones:4|Hat:9|Sunglasses:5
147,Shirt:2|Trousers:7|Footwear:8|Handbag:1|Watch:3|Guitar:9|Mobile_phone:4|Headphones:10|Hat:5|Sunglasses:6
148,Shirt:4|Trousers:3|Footwear:1|Handbag:10|Watch:5|Guitar:8|Mobile_phone:9|Headphones:6|Hat:7|Sunglasses:2
149,Shirt:6|Trousers:5|Footwear:9|Handbag:7|Watch:2|Guitar:10|Mobile_phone:8|Headphones:3|Hat:1|Sunglasses:4
150,Shirt:2|Trousers:7|Footwear:9|Handbag:8|Watch:5|Guitar:4|Mobile_phone:10|Headphones:3|Hat:6|Sunglasses:1
151,Shirt:9|Trousers:10|Footwear:5|Handbag:2|Watch:3|Guitar:7|Mobile_phone:6|Headphones:8|Hat:1|Sunglasses:4
152,Shirt:9|Trousers:3|Footwear:6|Handbag:5|Watch:4|Guitar:2|Mobile_phone:8|Headphones:7|Hat:10|Sunglasses:1
153,Shirt:10|Trousers:3|Footwear:5|Handbag:7|Watch:6|Guitar:2|Mobile_phone:4|Headphones:9|Hat:1|Sunglasses:8
154,Shirt:10|Trousers:7|Footwear:2|Handbag:3|Watch:1|Guitar:4|Mobile_phone:5|Headphones:8|Hat:6|Sunglasses:9
155,Shirt:5|Trousers:8|Footwear:7|Handbag:9|Watch:10|Guitar:4|Mobile_phone:6|Headphones:2|Hat:3|Sunglasses:1
156,Shirt:3|Trousers:1|Footwear:2|Handbag:10|Watch:9|Guitar:7|Mobile_phone:4|Headphones:8|Hat:5|Sunglasses:6
157,Shirt:3|Trousers:8|Footwear:6|Handbag:4|Watch:5|Guitar:10|Mobile_phone:9|Headphones:2|Hat:1|Sunglasses:7
158,Shirt:3|Trousers:7|Footwear:2|Handbag:4|Watch:9|Guitar:1|Mobile_phone:10|Headphones:5|Hat:8|Sunglasses:6
159,Shirt:1|Trousers:7|Footwear:6|Handbag:4|Watch:5|Guitar:10|Mobile_phone:3|Headphones:2|Hat:9|Sunglasses:8
160,Shirt:7|Trousers:4|Footwear:6|Handbag:10|Watch:9|Guitar:2|Mobile_phone:8|Headphones:3|Hat:1|Sunglasses:5
161,Shirt:4|Trousers:2|Footwear:8|Handbag:10|Watch:7|Guitar:5|Mobile_phone:9|Headphones:6|Hat:1|Sunglasses:3
162,Shirt:1|Trousers:2|Footwear:5|Handbag:7|Watch:3|Guitar:9|Mobile_phone:6|Headphones:10|Hat:8|Sunglasses:4
163,Shirt:2|Trousers:6|Footwear:4|Handbag:1|Watch:7|Guitar:8|Mobile_phone:10|Headphones:9|Hat:3|Sunglasses:5
164,Shirt:9|Trousers:5|Footwear:6|Handbag:8|Watch:1|Guitar:2|Mobile_phone:4|Headphones:10|Hat:7|Sunglasses:3
165,Shirt:9|Trousers:3|Footwear:4|Handbag:2|Watch:10|Guitar:5|Mobile_phone:7|Headphones:6|Hat:8|Sunglasses:1
166,Shirt:4|Trousers:6|Footwear:10|Handbag:5|Watch:1|Guitar:9|Mobile_phone:2|Headphones:8|Hat:7|Sunglasses:3
167,Shirt:10|Trousers:2|Footwear:4|Handbag:7|Watch:6|Guitar:3|Mobile_phone:8|Headphones:1|Hat:9|Sunglasses:5
168,Shirt:10|Trousers:4|Footwear:2|Handbag:6|Watch:1|Guitar:3|Mobile_phone:8|Headphones:9|Hat:5|Sunglasses:7
169,Shirt:8|Trousers:2|Footwear:7|Handbag:3|Watch:6|Guitar:4|Mobile_phone:5|Headphones:9|Hat:10|Sunglasses:1
170,Shirt:2|Trousers:1|Footwear:10|Handbag:3|Watch:8|Guitar:6|Mobile_phone:9|Headphones:7|Hat:5|Sunglasses:4
171,Shirt:5|Trousers:4|Footwear:10|Handbag:2|Watch:7|Guitar:3|Mobile_phone:9|Headphones:1|Hat:6|Sunglasses:8
172,Shirt:9|Trousers:2|Footwear:8|Handbag:7|Watch:1|Guitar:3|Mobile_phone:10|Headphones:4|Hat:5|Sunglasses:6
173,Shirt:4|Trousers:5|Footwear:9|Handbag:7|Watch:3|Guitar:6|Mobile_phone:8|Headphones:10|Hat:2|Sunglasses:1
174,Shirt:8|Trousers:6|Footwear:2|Handbag:5|Watch:3|Guitar:1|Mobile_phone:10|Headphones:4|Hat:7|Sunglasses:9
175,Shirt:6|Trousers:4|Footwear:3|Handbag:10|Watch:8|Guitar:9|Mobile_phone:1|Headphones:5|Hat:7|Sunglasses:2
176,Shirt:7|Trousers:1|Footwear:9|Handbag:3|Watch:6|Guitar:5|Mobile_phone:2|Headphones:10|Hat:8|Sunglasses:4
177,Shirt:4|Trousers:8|Footwear:7|Handbag:6|Watch:2|Guitar:9|Mobile_phone:10|Headphones:3|Hat:1|Sunglasses:5
178,Shirt:10|Trousers:9|Footwear:8|Handbag:6|Watch:1|Guitar:3|Mobile_phone:2|Headphones:7|Hat:4|Sunglasses:5
179,Shirt:6|Trousers:8|Footwear:1|Handbag:10|Watch:3|Guitar:7|Mobile_phone:5|Headphones:4|Hat:2|Sunglasses:9
180,Shirt:7|Trousers:1|Footwear:10|Handbag:6|Watch:8|Guitar:2|Mobile_phone:9|Headphones:5|Hat:3|Sunglasses:4
181,Shirt:9|Trousers:10|Footwear:5|Handbag:6|Watch:2|Guitar:3|Mobile_phone:8|Headphones:1|Hat:4|Sunglasses:7
182,Shirt:5|Trousers:9|Footwear:8|Handbag:3|Watch:2|Guitar:1|Mobile_phone:10|Headphones:6|Hat:7|Sunglasses:4
183,Shirt:8|Trousers:3|Footwear:4|Handbag:2|Watch:5|Guitar:9|Mobile_phone:6|Headphones:7|Hat:10|Sunglasses:1
184,Shirt:8|Trousers:7|Footwear:2|Handbag:10|Watch:4|Guitar:6|Mobile_phone:1|Headphones:9|Hat:3|Sunglasses:5
185,Shirt:5|Trousers:4|Footwear:3|Handbag:1|Watch:10|Guitar:2|Mobile_phone:6|Headphones:7|Hat:8|Sunglasses:9
186,Shirt:6|Trousers:10|Footwear:8|Handbag:4|Watch:3|Guitar:5|Mobile_phone:9|Headphones:1|Hat:7|Sunglasses:2
187,Shirt:5|Trousers:6|Footwear:9|Handbag:3|Watch:7|Guitar:4|Mobile_phone:8|Headphones:10|Hat:2|Sunglasses:1
188,Shirt:6|Trousers:9|Footwear:7|Handbag:3|Watch:1|Guitar:10|Mobile_phone:4|Headphones:5|Hat:2|Sunglasses:8
189,Shirt:2|Trousers:6|Footwear:5|Handbag:10|Watch:3|Guitar:4|Mobile_phone:8|Headphones:9|Hat:7|Sunglasses:1
190,Shirt:8|Trousers:2|Footwear:3|Handbag:6|Watch:9|Guitar:5|Mobile_phone:10|Headphones:7|Hat:4|Sunglasses:1
191,Shirt:1|Trousers:10|Footwear:6|Handbag:8|Watch:9|Guitar:2|Mobile_phone:5|Headphones:7|Hat:3|Sunglasses:4
192,Shirt:2|Trousers:4|Footwear:7|Handbag:3|Watch:8|Guitar:9|Mobile_phone:6|Headphones:5|Hat:10|Sunglasses:1
193,Shirt:4|Trousers:10|Footwear:1|Handbag:6|Watch:9|Guitar:8|Mobile_phone:2|Headphones:7|Hat:3|Sunglasses:5
194,Shirt:9|Trousers:4|Footwear:3|Handbag:10|Watch:6|Guitar:8|Mobile_phone:1|Headphones:7|Hat:2|Sunglasses:5
195,Shirt:9|Trousers:3|Footwear:2|Handbag:4|Watch:6|Guitar:10|Mobile_phone:5|Headphones:7|Hat:8|Sunglasses:1
196,Shirt:10|Trousers:9|Footwear:7|Handbag:5|Watch:8|Guitar:2|Mobile_phone:1|Headphones:3|Hat:6|Sunglasses:4
197,Shirt:10|Trousers:3|Footwear:1|Handbag:6|Watch:5|Guitar:2|Mobile_phone:8|Headphones:9|Hat:7|Sunglasses:4
198,Shirt:1|Trousers:8|Footwear:9|Handbag:5|Watch:6|Guitar:2|Mobile_phone:7|Headphones:3|Hat:4|Sunglasses:10
199,Shirt:6|Trousers:5|Footwear:9|Handbag:7|Watch:2|Guitar:3|Mobile_phone:1|Headphones:4|Hat:10|Sunglasses:8
200,Shirt:7|Trousers:8|Footwear:10|Handbag:5|Watch:3|Guitar:9|Mobile_phone:4|Headphones:1|Hat:6|Sunglasses:2
201,Shirt:1|Trousers:6|Footwear:7|Handbag:2|Watch:4|Guitar:9|Mobile_phone:10|Headphones:8|Hat:3|Sunglasses:5
202,Shirt:9|Trousers:5|Footwear:10|Handbag:3|Watch:7|Guitar:2|Mobile_phone:4|Headphones:1|Hat:8|Sunglasses:6
203,Shirt:3|Trousers:9|Footwear:8|Handbag:7|Watch:2|Guitar:1|Mobile_phone:5|Headphones:6|Hat:4|Sunglasses:10
204,Shirt:3|Trousers:4|Footwear:9|Handbag:2|Watch:7|Guitar:1|Mobile_phone:8|Headphones:10|Hat:6|Sunglasses:5
205,Shirt:3|Trousers:4|Footwear:6|Handbag:7|Watch:2|Guitar:10|Mobile_phone:8|Headphones:1|Hat:9|Sunglasses:5
206,Shirt:8|Trousers:1|Footwear:6|Handbag:4|Watch:7|Guitar:5|Mobile_phone:3|Headphones:9|Hat:2|Sunglasses:10
207,Shirt:10|Trousers:7|Footwear:6|Handbag:5|Watch:1|Guitar:4|Mobile_phone:8|Headphones:2|Hat:3|Sunglasses:9
208,Shirt:9|Trousers:6|Footwear:4|Handbag:7|Watch:1|Guitar:8|Mobile_phone:2|Headphones:3|Hat:10|Sunglasses:5
209,Shirt:8|Trousers:4|Footwear:5|Handbag:9|Watch:1|Guitar:3|Mobile_phone:2|Headphones:7|Hat:6|Sunglasses:10
210,Shirt:10|Trousers:3|Footwear:5|Handbag:4|Watch:6|Guitar:7|Mobile_phone:2|Headphones:9|Hat:1|Sunglasses:8
211,Shirt:8|Trousers:2|Footwear:1|Handbag:10|Watch:9|Guitar:7|Mobile_phone:3|Headphones:5|Hat:4|Sunglasses:6
212,Shirt:5|Trousers:9|Footwear:1|Handbag:10|Watch:2|Guitar:6|Mobile_phone:3|Headphones:8|Hat:4|Sunglasses:7
213,Shirt:7|Trousers:4|Footwear:6|Handbag:1|Watch:2|Guitar:3|Mobile_phone:8|Headphones:10|Hat:9|Sunglasses:5
214,Shirt:10|Trousers:3|Footwear:5|Handbag:2|Watch:6|Guitar:1|Mobile_phone:9|Headphones:7|Hat:8|Sunglasses:4
215,Shirt:7|Trousers:6|Footwear:8|Handbag:10|Watch:3|Guitar:9|Mobile_phone:5|Headphones:4|Hat:2|Sunglasses:1
216,Shirt:1|Trousers:10|Footwear:8|Handbag:4|Watch:7|Guitar:3|Mobile_phone:6|Headphones:9|Hat:2|Sunglasses:5
217,Shirt:1|Trousers:10|Footwear:4|Handbag:3|Watch:5|Guitar:7|Mobile_phone:8|Headphones:6|Hat:9|Sunglasses:2
218,Shirt:1|Trousers:4|Footwear:7|Handbag:2|Watch:10|Guitar:9|Mobile_phone:6|Headphones:5|Hat:3|Sunglasses:8
219,Shirt:1|Trousers:2|Footwear:7|Handbag:8|Watch:4|Guitar:5|Mobile_phone:10|Headphones:3|Hat:9|Sunglasses:6
220,Shirt:8|Trousers:7|Footwear:6|Handbag:4|Watch:9|Guitar:3|Mobile_phone:10|Headphones:5|Hat:2|Sunglasses:1
221,Shirt:4|Trousers:1|Footwear:6|Handbag:3|Watch:10|Guitar:8|Mobile_phone:9|Headphones:7|Hat:5|Sunglasses:2
222,Shirt:9|Trousers:1|Footwear:3|Handbag:4|Watch:5|Guitar:8|Mobile_phone:10|Headphones:6|Hat:2|Sunglasses:7
223,Shirt:5|Trousers:10|Footwear:7|Handbag:6|Watch:4|Guitar:9|Mobile_phone:3|Headphones:8|Hat:2|Sunglasses:1
224,Shirt:9|Trousers:4|Footwear:6|Handbag:10|Watch:1|Guitar:8|Mobile_phone:7|Headphones:5|Hat:2|Sunglasses:3
225,Shirt:9|Trousers:8|Footwear:10|Handbag:5|Watch:2|Guitar:6|Mobile_phone:4|Headphones:3|Hat:7|Sunglasses:1
226,Shirt:10|Trousers:7|Footwear:6|Handbag:3|Watch:8|Guitar:1|Mobile_phone:2|Headphones:4|Hat:5|Sunglasses:9
227,Shirt:9|Trousers:7|Footwear:5|Handbag:6|Watch:10|Guitar:1|Mobile_phone:8|Headphones:3|Hat:2|Sunglasses:4
228,Shirt:7|Trousers:5|Footwear:6|Handbag:2|Watch:8|Guitar:10|Mobile_phone:3|Headphones:1|Hat:4|Sunglasses:9
229,Shirt:8|Trousers:3|Footwear:5|Handbag:10|Watch:6|Guitar:1|Mobile_phone:7|Headphones:2|Hat:4|Sunglasses:9
230,Shirt:2|Trousers:9|Footwear:3|Handbag:8|Watch:7|Guitar:4|Mobile_phone:5|Headphones:10|Hat:6|Sunglasses:1
